,Unnamed: 0,Unnamed: 0.1,Message,Category
16,16,16.0,Taiwans Gogoro Inc. will go public in the U.S. via a special-purpose acquisition vehicle merger with Poema Global Holdings Corp,Event
17,17,17.0,"Intermountain Healthcare and SCL Health, two nonprofit health systems based in Salt Lake City, Utah and Broomfield, Colorado, respectively, have signed a letter of intent to merge and form a 33-hospital system and insurance provider",Event
18,18,18.0,Ooredoo and CK Hutchison have agreed to merge their Indonesian units to create a new entity branded as PT Indosat Ooredoo Hutchison,Event
19,19,19.0,"First Interstate Bank, Great Western Bank announce merger",Event
20,20,20.0,"Anthology, a leading provider of proven higher education solutions that support the entire learner lifecycle, and Blackboard, a leading global EdTech software and solutions company, announced today a definitive agreement to combine the two companies",Event
21,21,21.0,"The Burgiss Group, LLC (Burgiss) and Caissa, LLC (Caissa) today announced that they have entered into a definitive agreement to merge businesses",Event
22,22,22.0,AppYea continues the process of merging SleepX into the company. The merger is expected to be completed by 12/01/2021 in accordance with the model published on 08/02/2021 ,Event
23,23,23.0,ReNew Power Private Ltd on Tuesday announced the completion of its merger with Nasdaq-listed special purpose acquisition company (SPAC) RMG Acquisition Corp. II (RMG II),Event
24,24,24.0,"Viacom18 Media Pvt. Ltd, the owner of the Colors general entertainment channel, and Subhash Chandras Zee Entertainment Enterprises Ltd are in initial talks for a potential merger",Event
25,25,25.0,"In a major move in the world of cybersecurity, two majors - NortonLifeLock and Avast, have announced a merger",Event
26,26,26.0," SINA Corporation (Nasdaq: SINA), a leading online media company serving China and the global Chinese communities, today announced the completion of the merger with New Wave Mergersub Limited ",Event
27,27,27.0,"Blue Water Acquisition Corporation Announces Merger Agreement with Clarus Therapeutics, Forming A Publicly Listed Company To Address Unmet Needs Of Men And Women Through Development Of Androgen And Metabolic Therapies",Event
28,28,28.0,"Epharmacy unicorn firm PharmEasy has finally announced merger with its  rival Medlife, almost eight months after receiving competition watchdog Competition Commision of Indias (CCI) approval",Event
29,29,29.0,"Tilray Inc. and Aphria Inc. have agreed to an all-stock merger, which would create the world's largest cannabis company by sales",Event
30,30,30.0,"Today, Regal Rexnord Corporation announced that it has completed the merger of Regal Beloit Corporation with Rexnord Corporation's Process & Motion Control Business closing the deal that was signed on February 15, 2021",Event
31,31,31.0,"NEW YORK, Oct. 04, 2021 (GLOBE NEWSWIRE) -- via InvestorWire - Neurology-focused medical device and software company Brain Scientific Inc. (OTCQB: BRSF) and Piezo Motion Corp., a leading innovator of high-precision motion technology, have closed their previously announced merger agreement",Event
32,32,32.0,"Expro Group, an international energy services company with market leadership in well access and well flow optimization, today announced it has completed its previously announced merger with Franks International N.V. (NYSE: FI), a global oil services company offering a broad range of highly engineered drilling and completions solutions and services",Event
33,33,33.0,"Velo3D, Inc. (the Company or Velo3D), a leading additive manufacturing technology company for mission-critical metal parts, today announced it has completed its merger with JAWS Spitfire Acquisition Corporation (JAWS Spitfire) (NYSE: SPFR), a special purpose acquisition company, to become publicly traded",Event
34,34,34.0,"Shapeways, Inc. (Shapeways) a leader in the large and fast-growing digital manufacturing industry, today announced the completion of its business combination with Galileo Acquisition Corp. (Galileo), a special purpose acquisition company",Event
35,35,35.0,Zee will merge with Sony Pictures in an agreement that gives the former 47% in the combined entity,Event
36,36,36.0,"Clix Capital Services, a digital-lending shadow bank, is in merger talks with Suryoday Small Finance Bank (SSFB), a listed entity",Event
37,37,37.0,"SANTIAGO DE CHILE, October 4 - Chubb announced that it received regulatory approval from the Financial Market Commission ( CMF ) to complete the merger of Banchile Seguros de Vida SA",Event
38,38,38.0,Accor has acquired Gleneagles Hotel following the completion of a 1 billion merger with Ennismore,Event
39,39,39.0,"-BlackSky Holdings, Inc. (BlackSky), a leading technology platform providing real-time geospatial intelligence and global monitoring, today announced it has completed its previously announced business combination with Osprey Technology Acquisition Corp. (Osprey) to take BlackSky public",Event
40,40,40.0,"TPG Pace Tech Opportunities (NYSE:PACE), a publicly traded special purpose acquisition company, today announced that TPG Pace Tech Opportunities stockholders voted to approve its proposed business combination with Nerdy (the Business Combination)",Event
41,41,41.0,NCLT sanctions merger of Sun Pharma Global FZE with Sun Pharmaceutical Industries,Event
42,42,42.0,"Forge Global, Inc. (Forge), a leading global private securities marketplace, today announced it has entered into a definitive business combination agreement with Motive Capital Corp (NYSE: MOTV.U), a special purpose acquisition company sponsored by affiliates of Motive Partners",Event
43,43,43.0,"RIO DE JANEIRO, BRAZIL - BTG-controlled Banco Pan will merge with Mosaico technology company, owner of the Zoom, Bondfaro and Buscapé brands",Event
44,44,44.0,"Invesco Ltd. IVZ 5.27% is in talks to merge with State Street Corp.s STT 3.02% asset-management business, people familiar with the matter said",Event
45,45,45.0, Mumbai: Ujjivan Small Finance Bank (SFB) on Saturday said it would initiate steps for the amalgamation of the holding company Ujjivan Financial Services Ltd with the bank,Event
46,46,46.0,"The process to merge Tata Steel BSL with Tata Steel has been advanced, the steel major's Chairman N Chandrasekaran said on Wednesday",Event
47,47,47.0,"Edtech decacorn Byjus has closed the deal to acquire exam preparation firm Aakash Educational Services Limited (AESL) for nearly $1 billion. The stock-and-cash deal is the biggest in the education space, said sources.",Event
48,48,48.0,"Even as Piramal Enterprises is all set to merge its latest acquisition, Dewan Housing Finance Corporation (DHFL), with its own financial services business, its fight to buy the bankrupt company is far from over",Event
49,49,49.0,Forest Road Acquisition Corp. Stockholders Approve Proposed Merger With The Beachbody Company and Myx Fitness,Event
50,50,50.0,"Owlet Baby Care, the maker of connected infant-monitoring products targeted at consumers, today announced its plans to merge with Sandbridge Acquisition Corporation, a special purpose acquisition company (SPAC) backed by Sandbridge Capital and PIMCO private funds, and to begin trading on the NYSE",Event
51,51,51.0,BHP and Woodside Petroleum merger to create a global oil and gas giant in $40 billion mega deal,Event
52,52,52.0,Coastal Gujarat Power merger with Tata Power by February-end,Event
53,53,53.0,Indias largest metal scrap processor MTC Group and e-waste recycler Exigo Recycling Private Limited have formed a joint venture company MTC-Exigo Recycling Pvt. Ltd (MERPL) to process e-wastes and ramp up recycling capacity,Event
54,54,54.0,"Sabic, the Middle Easts largest petrochemicals company, has started commissioning activities and is preparing to start its joint venture project with energy major ExxonMobil in the US Gulf Coast",Event
55,55,55.0,Octo and Tyto Athene announced the creation of a Joint Venture (JV) that brings together two premier IT modernization and digital transformation providers to the U.S. Federal Government,Event
56,56,56.0,"ReneSola Ltd (www.renesolapower.com) (NYSE: SOL), a leading fully integrated solar project developer, today announced that European Solar Energy Development JV, the joint venture company established between ReneSola Power and Eiffel Investment Group , completed the acquisition of its first batch of solar projects with a combined capacity of 200MW in multiple European countries, including Spain, France and Poland",Event
57,57,57.0,NCL Industries has entered into joint venture agreement with Moravia Containers A.S. of Czech Republic to set up a joint venture company to manufacture modular containers and systems and other products,Event
58,58,58.0,"Chevron U.S.A. Inc., a subsidiary of Chevron Corporation (NYSE: CVX), and Bunge North America, Inc., a subsidiary of Bunge Limited (NYSE: BG), announced today a memorandum of understanding (MOU) of a proposed 50/50 joint venture to help meet the demand for renewable fuels and to develop lower carbon intensity feedstocks.",Event
59,59,59.0,"KKR, a leading global investment firm, and Cornerstone Companies, Inc. (Cornerstone), a full-service healthcare real estate investment, development and management firm, today announced that Cornerstone and KKR have entered into a joint venture (the Joint Venture) to acquire and develop a portfolio of diversified healthcare properties across the United States",Event
60,60,60.0,"Avanade, an Accenture and Microsoft Joint Venture, Launches in the United Arab Emirates",Event
61,61,61.0,"ravel management company FCM has secured a joint venture with business travel agency NSF Engagement in Japan, expanding its presence in Asia to support existing customers in the region and boosting its global footprint, the company has announced.",Event
62,62,62.0,"State-run oil refiner Indian Oil Corporation (IOC) is expanding its joint venture (JV) with Malaysia's state-run Petronas to focus on liquefied natural gas (LNG) plants, according to news agency Reuters.",Event
63,63,63.0,"Cerba Research, a leading global clinical trial laboratory services organization owned by Cerba HealthCare, announced today that they have joined forces with ACT Genomics under a joint venture model to create a purpose-built lab facility in Taiwan covering the Asia Pacific region.",Event
64,64,64.0,"Cadila Healthcare and Bayer (South East Asia) have decided to extend the operations of their joint venture by three years with effect from June, the companies said in a joint statement on Monday.",Event
65,65,65.0,"LUMAN Group, a leading Indian manufacturer of filters, automotive components, and lubricants for all major vehicle brands joins hands with M Filter, the biggest OEM-filter manufacturer of the Nordic countries",Event
66,66,66.0,"Indian Oil Corporation (IOC) on Wednesday entered into a collaboration with Phinergy, an Israeli start-up company specialising in hybrid lithium-ion and aluminium-air/zinc-air battery systems, to form IOC Phinergy Private Limited",Event
67,67,67.0,"India Glycols Limited, manufacturer of green technology-based chemicals, and Clariant International, a specialty chemicals company, have formed a joint venture for renewable ethylene oxide (EO) derivatives after receiving all necessary regulatory approvals",Event
68,68,68.0,"Brookfield Infrastructure, a subsidiary of Canada's Brookfield, and NYSE-listed Digital Realty, the global provider of data centres, today announced the setting up of an equal joint venture to develop data centres in India",Event
69,69,69.0,"Jaykay Enterprises, a part of diversified JK Group, on Monday said it has entered into a joint venture partnership with Germany's EOS, a global leader in 3D metal design and printing market, to address the need of 3D metal printing in India",Event
70,70,70.0,E-commerce major Flipkart said its wholesale entity in India has formed a joint venture with Ace Turtle to bring ToysRUs and BabiesRUs to its platform,Event
71,71,71.0,"South Korean battery maker SK Innovation and American automaker Ford Motor are set to announce a battery joint venture in the United States to ensure a stable supply of batteries for electric vehicles, industry sources said on Thursday.",Event
72,72,72.0,Fineotex Chemical rose 2.50% to Rs 98.35 after the company said that it has entered into a joint venture with HealthGuard Australia to become the exclusive global marketing and sales channel partner with joint operations from Malaysia.,Event
73,73,73.0,"Aegis Logistics and Royal Vopak of the Netherlands will form a joint venture (JV) - Aegis Vopak Terminals (AVTL), with the aim to grow together in the LPG, chemicals storage and handling business",Event
74,74,74.0,"DENVER, Colorado and PARIS, France--(BUSINESS WIRE)--Liberty Global Ventures, the investment arm of Liberty Global plc (Liberty Global) (NASDAQ: LBTYA, LBTYB and LBTYK), and InfraVia Capital Partners, a leading independent private equity firm specialized in infrastructure and technology investments, have set up a new Joint Venture (JV) aimed at assessing the opportunity in building fibre-to-the-home networks in Germany",Event
75,75,75.0,"CHICAGO--(BUSINESS WIRE)--The Scion Group and PGIM Real Estate, the real estate investment and financing arm of Prudential Financials global asset management business, announced today that they  recently formed joint venture",Event
76,76,76.0,Brookfield Infrastructure and NYSE-listed Digital Realtys Indian joint venture BAM Digital Realty has received all requisite regulatory approvals and the parties have closed the joint venture as previously announced in July,Event
77,77,77.0,"WASHINGTON, DC , Sept. 23, 2021 (GLOBE NEWSWIRE) -- CommCore Consulting Group, a Washington, DC, crisis and communications training firm, today announced a joint venture with Watkins McGowan Communications (WMC), an Atlanta-based strategic communications firm",Event
78,78,78.0,France's Technip Energies and Abu Dhabi's National Petroleum Construction Company (NPCC) signed a preliminary agreement to form a joint venture to collaborate on energy transition projects in the UAE and the broader Middle East and North Africa region,Event
79,79,79.0,"CHARLOTTE, N.C., Sept. 22, 2021 /PRNewswire/ -- Polypore International, LP (Polypore) and Shanghai Energy New Materials Technology Co., Ltd. (SEMCORP) reached agreement in January 2021, through their respective subsidiaries, to establish a joint venture (JV) in China for dry-process membrane separator for lithium-ion batteries (LIBs). The necessary regulatory approvals are complete and the JV has been established as Jiangxi Enpo New Materials Co., Ltd. in Gaoan City, Jiangxi Province, People's Republic of China.",Event
80,80,80.0,"Lear Corporation (NYSE: LEA), a global automotive technology leader in Seating and E-Systems, today announced it has signed a definitive agreement for a joint venture with Hu Lane Associate Inc",Event
81,81,81.0, Sidewinders LLC and PTS Advance are pleased to announce a joint ventureSidewinders Advance,Event
82,82,82.0,"Limoneira Company Announces Joint Venture with Wileman Bros. & Elliott, Inc.",Event
83,83,83.0,Mumbai: Indias largest metal scrap processor MTC Group and e-waste recycler Exigo Recycling Private Limited have formed a joint venture company MTC-Exigo Recycling Pvt. Ltd (MERPL) to process e-wastes and ramp up recycling capacity,Event
84,84,84.0,Shares in PPK Group Limited (ASX: PPK) are up and down in morning trade today. This comes after the boron nitride nanotubes (BNNT) company announced a joint venture to manufacture anti-viral and anti-bacterial face masks,Event
85,85,85.0,"Blue Vista Capital Management, LLC (Blue Vista), a leading Chicago-based real estate investment firm, today announced the formation of a new joint venture partnership (the Partnership) with Koramco Asset Management, one of South Koreas top real estate investment management firms, and a second South Korean institution, to invest in top-tier core student housing assets across the United States",Event
86,86,86.0,"Plug Power Inc. (NASDAQ: PLUG), a leading provider of turnkey hydrogen solutions for the global green hydrogen economy, and SK E&S, part of South Koreas SK Group, announced today that the companies have formed a joint venture designed to accelerate the use of hydrogen as an alternative energy source in Asian markets",Event
87,87,87.0,"Truss CBD USA, a joint venture by Molson Coors Beverage Company (NYSE: TAP) and HEXO USA Inc, a subsidiary of HEXO Corp (NASDAQ: HEXO), today announces the expansion of Veryvell, a line of hemp-derived CBD and adaptogen beverages",Event
88,88,88.0,Hospitality groups Accor and Ennismore have completed a joint venture deal that will see the two companies merge and form a new lifestyle entity,Event
89,89,89.0,"Accor and Ennismore have announced that a proposed deal to create a landmark joint venture, which was first mooted in late 2020, has successfully completed",Event
90,90,90.0,"Erstwhile Bharti AXA General Insurance was a joint venture between erstwhile Bharti Enterprises and AXA, with 51% stake from erstwhile Bharti Enterprises and 49% stake of the AXA Group",Event
91,91,91.0,"Sino-Global Shipping America, Ltd. (NASDAQ: SINO) today announced it plans to enter a bitcoin mining machine joint-venture with Highsharp, a company focused on block-chain technology, hardware, software and technology management, and cloud computing",Event
92,92,92.0,MNB Precision and Sigma Engineering Works Announce Joint Venture for Advanced Machining and API Services and Manufacturing,Event
93,93,93.0,"Tokyo Gas and Thai state-run PTT have decided to form a joint venture to enter the onsite energy service and fuel supply business in Thailand, the Japanese company said on October 5",Event
94,94,94.0,"SOS Limited (NYSE: SOS), a New Jersey limited liability company, for a joint venture to be based in Niagara, Wisconsin",Event
95,95,95.0,"To address the ongoing demand for COVID-19 testing and to catalyze safe return of the workforce, Dalrada Corporation (OTCQB: DFCO, Dalrada) is excited to announce that its subsidiary, Dalrada Health, entered into a joint venture partnership with Vivera Pharmaceutical, Inc. (Vivera) to form Pala Diagnostics, LLC (Pala Diagnostics). The expanded national capabilities of Mission Viejo, California-based Pala Diagnostics include full on-site testing services for high-volume settings, rapid results within 24 hours for PCR testing, and a range of life science testing including SARS-CoV-2",Event
96,96,96.0,Archer Daniels Midland Co. (ADM) and Marathon Petroleum Corp. (MPC) on Aug. 19 announced an agreement to form a joint venture to produce soybean oil to supply rapidly growing demand for renewable diesel fuel,Event
97,97,97.0,"SHV Energy and UGI International, a subsidiary of UGI Corporation (NYSE: UGI), leading distributors of off-grid energy, announce the intention to launch a joint venture to advance the production and use of Renewable Dimethyl Ether (rDME), a low-carbon sustainable liquid gas, to accelerate renewable solutions for the LPG industry",Event
98,98,98.0,"Colt Data Centre Services (DCS), a leading provider of global hyperscale data centre solutions, today announced, that Fidelity has entered into a joint venture agreement with Mitsui & Co, and Mitsui & Co Asset Management Holdings, to provide state-of-the-art hyperscale data centres in Japan",Event
99,99,99.0,"New Delhi: State-owned hydropower giant NHPC will form a joint venture with JKSPDCL, 'Ratle Hydroelectric Power Corporation Ltd', to implement a 850-megawatt (MW) hydroelectric project in Chenab river basin",Event
100,100,100.0,"Japans largest drone manufacturer, Autonomous Control Systems Laboratory (ACSL), is making a move into the Indian market through a partnership with Delhi-based Arc Ventures to establish a joint venture called ACSL India, at an initial investment of $3.5 million",Event
101,101,101.0,"Ingenuity BioSciences Pvt. Ltd  Veeda Clinical Research, one of Indias leading and largest independent CRO companies, and Somru BioScience Inc., a leading Canadian-based biotechnology company based in Charlottetown, Prince Edward Island, are proud to announce the establishment of an innovation-centric bioanalytical laboratory in Ahmedabad, India",Event
102,102,102.0,"Porsche and Croatian electric performance car manufacturer Rimac have agreed to create a joint venture that incorporates Volkswagens high-performance Bugatti brand, officials announced Monday",Event
103,103,103.0,"Drug major Sun Pharma on Tuesday said the company has reached an agreement with Celgene Corporation, a wholly-owned subsidiary of Bristol Myers Squibb, to resolve the patent litigation regarding generic version of Revlimid (lenalidomide capsules) in the US",Event
104,104,104.0,Novartis has agreed to pay $678 million to settle a civil fraud lawsuit in which the U.S. government accused the Swiss drugmaker of illegally providing doctors with cash payments and other perks to induce them to prescribe its cardiovascular and diabetes drugs,Event
105,105,105.0,Twitter Inc (TWTR.N) said on Monday it would pay $809.5 million to settle a shareholder class action lawsuit accusingthe social media company of deceiving investors about how often people used its platform.,Event
106,106,106.0,"Apple Inc is facing a London lawsuit over claims it overcharged nearly 20 million U.K. customers for App Store purchases, yet another legal headache for the tech giant fighting lawsuits across the world",Event
107,107,107.0,Plaid Inc has agreed to pay $58 million to resolve consumers' claims that the financial technology company obtained and used bank account credentials and financial information without consent,Event
108,108,108.0,SolarWinds Corp urged a Texas federal judge to dismiss a lawsuit alleging the software company that was targeted by hackers misled shareholders about its cybersecurity measures ahead of a massive breach,Event
109,109,109.0,"Chinese telecommunications company Huawei Technologies Co Ltd (HWT.UL) and U.S. group Verizon Communications (VZ.N) agreed to settle a pair of lawsuits alleging patent infringement, the companies both said on Monday",Event
110,110,110.0,"Pfizer Inc (PFE.N) has agreed to pay $345 million to resolve claims by consumers who say they overpaid for EpiPens due to anticompetitive practices by the drugmaker and the company that markets the emergency allergy treatment, Mylan",Event
111,111,111.0,Google faces consumer lawsuit brought on behalf of 19 million UK Play Store users for alleged excessive pricing and competition law breaches. Collective action targets Google's 30% commission on app and in-app purchases,Event
112,112,112.0,"DBS Group Holdings Ltd., Southeast Asias largest lender, said its facing lawsuits in India related to its recent takeover of a struggling local bank",Event
113,113,113.0,"Zoom Video Communications Inc (ZM.O) agreed to pay $85 million and bolster its security practices to settle a lawsuit claiming it violated users' privacy rights by sharing personal data with Facebook, Google and LinkedIn, and letting hackers disrupt Zoom meetings in a practice called Zoombombing",Event
114,114,114.0,Bio-Rad Laboratories and 10x Genomics announced on Tuesday an agreement that will end their protracted legal battle over single-cell analysis patents and provide cross-licensing to each other's intellectual property in that realm,Event
115,115,115.0,"Prominent civil rights attorney Ben Crump has filed a lawsuit against Johnson & Johnson, alleging the pharmaceutical giant marketed talcum-based baby powder specifically to Black women despite links to ovarian cancers",Event
116,116,116.0,"The post-acute care company CareCentrix filed a complaint in U.S. district court against Marcus Lanznar and Signify Health, accusing Lanznar of corporate espionage and theft of confidential information",Event
117,117,117.0,"Netflix was sued in Los Angeles for race and gender discrimination by a director in the streaming giants business and legal affairs department, according to a lawsuit filed Tuesday",Event
118,118,118.0,The European Union launched a new lawsuit against AstraZeneca on Tuesday that could lead to financial sanctions for the company which the EU alleges has breached a supply contract for COVID-19 vaccines,Event
119,119,119.0,"Bragar Eagel & Squire, P.C. Announces that a Class Action Lawsuit Has Been Filed Against DraftKings, Inc. and Encourages Investors to Contact the Firm",Event
120,120,120.0,"Mars, Nestlé and Hershey to face child slavery lawsuit in US",Event
121,121,121.0,T-Mobile USA Inc. was hit with a pair of class action lawsuits in Washington federal court accusing the telecommunications company of violating the California Consumer Privacy Act.,Event
122,122,122.0,Singapore-based DBS Group Holdings said it was facing lawsuits in India over its takeover of Lakshmi Vilas Bank (LVB),Event
123,123,123.0,"RM LAW, P.C. announces that a shareholder class action lawsuit has been filed against MultiPlan Corporation (NYSE: MPLN), formerly known as Churchill Capital Corp. III ",Event
124,124,124.0,Juul labs agrees to $40 million settlement in North Carolina teen marketing lawsuit,Event
125,125,125.0,"Bragar Eagel & Squire, P.C. Announces That a Class Action Lawsuit Has Been Filed Against Skillz, Inc.",Event
126,126,126.0,"Plaid Inc agreed to settle a data privacy class action lawsuit for $58 million on Thursday after six months of negotiation and mediation between the parties representatives. The parties submitted their proposed settlement to the United States District Court for the Northern District of California, Oakland Division",Event
127,127,127.0,"The U.S. Supreme Court on Thursday threw out a lawsuit accusing Cargill Inc and a Nestle SA (NESN.S) subsidiary of knowingly helping perpetuate slavery at Ivory Coast cocoa farms, but sidestepped a broader ruling on the permissibility of suits accusing American companies of human rights violations abroad",Event
128,128,128.0,"Multiple law firms have filed class actions against Johnson & Johnson on behalf of purchasers of certain Aveeno and Neutrogena sunscreens that have dangerous and unacceptable levels of the known cancer-causing chemical, benzene",Event
129,129,129.0,LyondellBasell Faces At Least 2 Lawsuits Over Deadly La Porte Plant Leak,Event
130,130,130.0,Twitter Inc (TWTR.N) said on Monday it would pay $809.5 million to settle a shareholder class action lawsuit accusingthe social media company of deceiving investors about how often people used its platform,Event
131,131,131.0,"-The Schall Law Firm, a national shareholder rights litigation firm, announces the filing of a class action lawsuit against The Honest Company, Inc. (Honest or the Company) (NASDAQ: HNST) for violations of the federal securities laws",Event
132,132,132.0,"Bronstein, Gewirtz & Grossman, LLC notifies investors that a class action lawsuit has been filed against The Honest Company, Inc.",Event
133,133,133.0,A local man has filed a $51 million lawsuit against Amazon and several of its distribution partners after a crash with an Amazon delivery truck left him with severe injuries,Event
134,134,134.0,"RM LAW Announces Class Action Lawsuit Against Medallia, Inc.",Event
135,135,135.0,A2 Milk Co Ltd (ATM.NZ) said on Wednesday Australian law firm Slater and Gordon has filed a class action lawsuit against the dairy firm on behalf of investors who bought its shares over a nine-month period when it issued multiple earnings downgrades,Event
136,136,136.0,"A fund management company that invested more than $2 million in Ozy Media filed a lawsuit on Monday claiming Ozy engaged in fraudulent, deceptive and illegal conduct",Event
137,137,137.0,Apple settles to pay $95 million over AppleCare class action lawsuit,Event
138,138,138.0,Henrietta Lacks estate files lawsuit against Massachusetts-based company Thermo Fisher Scientific Inc. for using stolen cancer cells,Event
139,139,139.0,LinkedIn must face narrowed U.S. lawsuit claiming it overcharged advertisers,Event
140,140,140.0,"Tencent said it would investigate the functions of its popular social messaging app WeChat's youth mode, after Beijing prosecutors initiated a civil public-interest lawsuit against a subsidiary of the company on Friday",Event
141,141,141.0,SolarWinds Corp urged a Texas federal judge to dismiss a lawsuit alleging the software company that was targeted by hackers misled shareholders about its cybersecurity measures ahead of a massive breach,Event
142,142,142.0,"Zoom Video Communications may be paying a very significant price to settle a 2020 privacy lawsuit that accused the company of wrongful data sharing with third parties such as Facebook, Google and LinkedIn",Event
143,143,143.0,"A non-practicing entity has filed a case against Apple in the US, claiming certain iPhone security features like user passcodes and other unlock methods infringe on owned patents",Event
144,144,144.0,"BEIJING, Aug 6 (Reuters) - Beijing prosecutors initiated a civil public-interest lawsuit against a Tencent (0700.HK) subsidiary on Friday, saying the youth mode on the company's popular social messaging app WeChat does not comply with laws protecting minors",Event
145,145,145.0,"TwinStrand Biosciences, Inc. announced today that it filed a patent infringement lawsuit against Guardant Health, Inc. (Nasdaq: GH)",Event
146,146,146.0,"Federman & Sherwood announces that on July 22, 2021, a class action lawsuit was filed in the United States District Court for the Northern District of California against Coinbase Global, Inc. (NASDAQ: COIN)",Event
147,147,147.0,"Apple must face a patent infringement lawsuit over the heart rate technology in the Apple Watch, the U.S. Circuit Court of Appeals for the Federal Circuit ruled today.",Event
148,148,148.0,"Bragar Eagel & Squire, P.C., a nationally recognized stockholder rights law firm, announces that a class action lawsuit has been filed against View, Inc. (View or the Company) (NASDAQ: VIEW) in the United States District Court for the Northern District of California on behalf of all persons and entities who purchased or otherwise acquired View securities between November 30, 2020 and August 16, 2021, both dates inclusive (the Class Period). Investors have until October 18, 2021 to apply to the Court to be appointed as lead plaintiff in the lawsuit.",Event
149,149,149.0,"Bragar Eagel & Squire, P.C., a nationally recognized stockholder rights law firm, announces that a class action lawsuit has been filed against Koninklijke Philips N.V",Event
150,150,150.0,"Apple has settled its copyright lawsuit against Corellium, a company that sells virtual iPhone environments for security testing",Event
151,151,151.0,"Glancy Prongay & Murray LLP (GPM), announces that it has filed a class action lawsuit in the United States District Court for the Northern District of California captioned Mehedi v. View, Inc., et al",Event
152,152,152.0,"Glancy Prongay & Murray LLP (GPM), announces that it has filed a class action lawsuit in the United States District Court for the Eastern District of Pennsylvania captioned Zhou v. Annovis Bio, Inc., et al.",Event
153,153,153.0,"Cincinnati-based Procter & Gamble, one of the largest producers of consumer goods on the planet, is facing a lawsuit regarding recycling claims made on some of its packaging",Event
154,154,154.0,Huawei Faces Lawsuit After Allegedly Spying on Pakistan Citizens from Stolen Tech,Event
155,155,155.0,HCL Technologies on Tuesday announced that it has entered into a multi-year partnership with ING Germany brand Lendico.,Event
156,156,156.0,"Krista Software Inc., the provider of Intelligent Automation platform Krista and Tech Mahindra, a leading provider of digital transformation, consulting and business re-engineering services and solutions, have signed a strategic partnership to deliver Intelligent Automation at scale to customers",Event
157,157,157.0,"Adaptive Surface Technologies, Inc. (AST), a world leader in repellent surfaces, today announced it has entered into a new distribution partnership with Green Sailor by Par-Ky Italia srl to offer its SLIPS® Dolphin marine paint to new customers in Europe",Event
158,158,158.0,"NEW YORK--(BUSINESS WIRE)--Nuveen, a leading global investment manager with over $1 trillion of assets under management, announced today it has entered into a strategic partnership with Project Destined, a national social impact platform providing diverse students and military veterans interested in exploring real estate careers with critical industry fundamentals",Event
159,159,159.0,"NEW YORK--(BUSINESS WIRE)--Helbiz Inc. (NASDAQ: HLBZ), a global leader in micro-mobility and the first in its industry to be publicly listed on Nasdaq, today announced an agreement between Helbiz Media, the Companys media arm and exclusive distributor of the Serie B media rights worldwide, and Amazon Italy, to broadcast Helbiz Live contents and the entire Italian Serie B Championship on all devices and TVs equipped with Amazon Prime Video Channels throughout Italy.",Event
